,Date,State,Unemployment Rate (S),1-Month Net Change,1-Month % Change
0,2019-01-01,Alabama,3.6,0.0,0.0
1,2019-02-01,Alabama,3.5,-0.1,-2.8
2,2019-03-01,Alabama,3.3,-0.2,-5.7
3,2019-04-01,Alabama,3.2,-0.1,-3.0
4,2019-05-01,Alabama,3.0,-0.2,-6.3
5,2019-06-01,Alabama,2.9,-0.1,-3.3
6,2019-07-01,Alabama,2.8,-0.1,-3.4
7,2019-08-01,Alabama,2.8,0.0,0.0
8,2019-09-01,Alabama,2.7,-0.1,-3.6
9,2019-10-01,Alabama,2.7,0.0,0.0
10,2019-11-01,Alabama,2.7,0.0,0.0
11,2019-12-01,Alabama,2.7,0.0,0.0
12,2020-01-01,Alabama,2.7,0.0,0.0
13,2020-02-01,Alabama,2.7,0.0,0.0
14,2020-03-01,Alabama,3.0,0.3,11.1
15,2020-04-01,Alabama,13.8,10.8,360.0
16,2020-05-01,Alabama,9.6,-4.2,-30.4
17,2020-06-01,Alabama,7.5,-2.1,-21.9
18,2019-01-01,Alaska,6.1,-0.1,-1.6
19,2019-02-01,Alaska,6.1,0.0,0.0
20,2019-03-01,Alaska,6.1,0.0,0.0
21,2019-04-01,Alaska,6.1,0.0,0.0
22,2019-05-01,Alaska,6.2,0.1,1.6
23,2019-06-01,Alaska,6.2,0.0,0.0
24,2019-07-01,Alaska,6.2,0.0,0.0
25,2019-08-01,Alaska,6.2,0.0,0.0
26,2019-09-01,Alaska,6.2,0.0,0.0
27,2019-10-01,Alaska,6.1,-0.1,-1.6
28,2019-11-01,Alaska,6.1,0.0,0.0
29,2019-12-01,Alaska,6.1,0.0,0.0
30,2020-01-01,Alaska,6.0,-0.1,-1.6
31,2020-02-01,Alaska,5.8,-0.2,-3.3
32,2020-03-01,Alaska,5.2,-0.6,-10.3
33,2020-04-01,Alaska,13.5,8.3,159.6
34,2020-05-01,Alaska,12.7,-0.8,-5.9
35,2020-06-01,Alaska,12.4,-0.3,-2.4
36,2019-01-01,Arizona,4.9,0.1,2.1
37,2019-02-01,Arizona,4.9,0.0,0.0
38,2019-03-01,Arizona,4.8,-0.1,-2.0
